date,notes
2020-02-15,Heavy rain over weekend
2020-03-23,Lockdown commences
2020-04-12,Easter Sunday
2020-05-08,National VE day holiday
2020-05-13,Lockdown relaxed (movement)
2020-05-18,Congestion charge restored
2020-05-25,Spring bank holiday
2020-06-01,Lockdown relaxed (schools & groups)
2020-06-15,Lockdown relaxed (shops)
2020-06-22,Congestion charge increased
2020-07-04,Lockdown relaxed (pubs & travel)
2020-07-25,Lockdown relaxed (gyms & swimming)
2020-08-15,Lockdown relaxed (indoor ents.)