id,name,village,lon,lat
419,Chelsea Bridge,Pimlico,-0.149004,51.485821
420,Southwark Station 1,Southwark,-0.105312,51.504043
421,Southwark Station 2,Southwark,-0.104778,51.504044
423,Eaton Square (South),Belgravia,-0.153933,51.494561
424,Ebury Bridge,Pimlico,-0.149186,51.490491
425,Harrington Square 2,Camden Town,-0.139159,51.533379
426,Vincent Street,Pimlico,-0.129925,51.493072
427,Cheapside,Bank,-0.09294,51.51397
428,Exhibition Road,Knightsbridge,-0.174554,51.499917
430,South Parade,Chelsea,-0.17524,51.48902
431,Crinan Street,King's Cross,-0.122203,51.534474
432,Exhibition Road Museums,South Kensington,-0.173894,51.496957
433,Wren Street,Holborn,-0.116279,51.524564
435,Kennington Station,Kennington,-0.105593,51.488852
436,Red Lion Street,Holborn,-0.11655,51.51824
437,Vauxhall Walk,Vauxhall,-0.120903,51.488124
439,Killick Street,King's Cross,-0.118677,51.5338
440,Kennington Oval,Oval,-0.113134,51.483145
441,Sail Street,Vauxhall,-0.114605,51.495656
442,Walmer Road,Avondale,-0.211358,51.510101
443,Philpot Street,Whitechapel,-0.058641,51.515256
444,Bethnal Green Garden,Bethnal Green,-0.055312,51.52568
445,Cheshire Street,Bethnal Green,-0.065076,51.52388
446,York Hall,Bethnal Green,-0.055894,51.528936
447,Jubilee Crescent,Cubitt Town,-0.007542,51.493381
448,Fisherman's Walk West,Canary Wharf,-0.02296,51.50623
449,Shadwell Station,Shadwell,-0.057159,51.511088
450,Jubilee Street,Stepney,-0.053177,51.515975
451,Hermitage Court,Wapping,-0.063531,51.504719
452,St. Katharine's Way,Tower,-0.070542,51.505697
453,Garnet Street,Shadwell,-0.055167,51.508447
454,Napier Avenue,Millwall,-0.021582,51.487679
455,East Ferry Road,Cubitt Town,-0.014409,51.49447
456,Parkway,Camden Town,-0.144664,51.538071
457,Castlehaven Road,Camden Town,-0.145393,51.542138
458,Wapping Lane,Wapping,-0.057544,51.504749
459,Gunmakers Lane,Old Ford,-0.03338,51.535179
460,Burdett Road,Mile End,-0.029138,51.516196
461,Aston Street,Stepney,-0.038775,51.516
462,Bonny Street,Camden Town,-0.138853,51.541603
463,Thurtle Road,Haggerston,-0.071881,51.534776
464,St. Mary & St. Michael Church,Stepney,-0.052099,51.51417
465,Pitfield Street North,Hoxton,-0.08249,51.53558
466,Whiston Road,Haggerston,-0.076341,51.534464
467,Southern Grove,Bow,-0.030556,51.523538
468,Cantrell Road,Bow,-0.022694,51.521564
469,Lindfield Street,Poplar,-0.020467,51.513757
470,Mostyn Grove,Bow,-0.025492,51.530535
471,Hewison Street,Old Ford,-0.028155,51.533283
472,Malmesbury Road,Bow,-0.027616,51.529452
473,Millharbour,Millwall,-0.019355,51.496137
475,Lightermans Road,Millwall,-0.020157,51.499041
476,Stebondale Street,Cubitt Town,-0.009205,51.489096
477,Spindrift Avenue,Millwall,-0.018716,51.49109
478,Stepney Green Station,Stepney,-0.04667,51.521889
479,Pott Street,Bethnal Green,-0.058005,51.527152
480,Flamborough Street,Limehouse,-0.038986,51.512871
481,Saunders Ness Road,Cubitt Town,-0.009001,51.487129
483,Albert Gardens,Stepney,-0.047784,51.51328
484,Bromley High Street,Bow,-0.013258,51.528828
485,Old Ford Road,Bethnal Green,-0.048017,51.531127
486,Granby Street,Shoreditch,-0.069543,51.525645
487,Canton Street,Poplar,-0.025626,51.511811
488,Reardon Street,Wapping,-0.058681,51.506946
489,Christian Street,Whitechapel,-0.064094,51.513074
490,Pennington Street,Wapping,-0.065006,51.508622
491,Queen Mary's,Mile End,-0.041378,51.522507
492,Maplin Street,Mile End,-0.032267,51.525501
494,South Quay East,Canary Wharf,-0.016251,51.50196
495,Bow Church Station,Bow,-0.018703,51.528169
496,Devons Road,Bow,-0.015578,51.52512
497,Merchant Street,Bow,-0.027396,51.526149
498,Bow Road Station,Bow,-0.025296,51.527058
499,Furze Green,Bow,-0.021345,51.519265
500,Ansell House,Stepney,-0.055731,51.519806
501,Cephas Street,Bethnal Green,-0.054883,51.522561
502,Bonner Gate,Victoria Park,-0.049591,51.53341
503,Cleveland Way,Stepney,-0.051394,51.520893
504,St. John's Park,Cubitt Town,-0.009506,51.496454
505,Ackroyd Drive,Bow,-0.026768,51.520398
506,Bell Lane,Liverpool Street,-0.075855,51.517475
507,Clarkson Street,Bethnal Green,-0.059091,51.528692
508,Fournier Street,Whitechapel,-0.074431,51.519362
509,Fore Street,Guildhall,-0.090075,51.517842
510,Westferry DLR,Limehouse,-0.025996,51.509303
511,Sutton Street,Shadwell,-0.053558,51.511066
512,Pritchard's Road,Bethnal Green,-0.06142,51.532091
513,Watney Market,Stepney,-0.055656,51.514222
514,Portman Square,Marylebone,-0.155525,51.516204
515,Russell Gardens,Olympia,-0.211316,51.500088
516,Chrisp Street Market,Poplar,-0.014438,51.5112
517,Ford Road,Old Ford,-0.033085,51.532513
518,Antill Road,Mile End,-0.037471,51.528224
519,Teviot Street,Poplar,-0.011662,51.518811
520,Bancroft Road,Bethnal Green,-0.047218,51.526041
521,Driffield Road,Old Ford,-0.037366,51.534137
522,Clinton Road,Mile End,-0.036017,51.525941
523,Langdon Park,Poplar,-0.013475,51.51549
524,Lancaster Gate,Bayswater,-0.179668,51.511654
526,Lancaster Drive,Blackwall,-0.008428,51.503143
527,Hansard Mews,Holland Park,-0.215808,51.503802
528,Clarges Street,Mayfair,-0.145827,51.507326
529,Manresa Road,Chelsea,-0.170983,51.486892
530,Newby Place,Poplar,-0.012413,51.508896
531,Twig Folly Bridge,Mile End,-0.042744,51.530326
532,Jubilee Plaza,Canary Wharf,-0.020068,51.50357
533,Wellington Row,Bethnal Green,-0.069743,51.528222
534,Goldsmith's Row,Haggerston,-0.066035,51.531864
535,Gloucester Avenue,Camden Town,-0.147154,51.537349
536,Queensbridge Road,Haggerston,-0.06992,51.53385
537,Old Montague Street,Whitechapel,-0.067937,51.51793
538,Naval Row,Blackwall,-0.00699,51.508981
540,Albany Street,The Regent's Park,-0.144466,51.528302
541,Green Park Station,Mayfair,-0.142844,51.506613
542,Salmon Lane,Limehouse,-0.033828,51.514115
543,Lansdowne Walk,Ladbroke Grove,-0.204666,51.509591
544,Percival Street,Finsbury,-0.102208,51.526153
545,Arlington Road,Camden Town,-0.145246,51.539957
546,New Fetter Lane,Holborn,-0.107987,51.517428
547,East India DLR,Blackwall,-0.002275,51.509474
548,Westminster Bridge Road,Elephant & Castle,-0.107913,51.498386
549,Gaywood Street,Elephant & Castle,-0.104193,51.49605
550,Harford Street,Mile End,-0.039264,51.521564
551,Import Dock,Canary Wharf,-0.01646,51.505772
552,Watney Street,Shadwell,-0.056667,51.511542
553,Regent's Row,Haggerston,-0.062546,51.535678
554,Aberfeldy Street,Poplar,-0.005659,51.513548
556,Heron Quays DLR,Canary Wharf,-0.021596,51.502661
557,King Edward Street,St Pauls,-0.0985,51.51601
558,Page Street,Westminster,-0.127554,51.493978
559,Abbotsbury Road,Holland Park,-0.205991,51.501391
560,Ladbroke Grove Central,Ladbroke Grove,-0.205921,51.511624
561,Rectory Square,Stepney,-0.043371,51.518369
562,Bury Place,Holborn,-0.12335,51.51746
563,Preston's Road,Cubitt Town,-0.009152,51.499286
564,Somerset House,Strand,-0.117619,51.509943
565,Selby Street,Whitechapel,-0.063386,51.521905
566,Westfield Ariel Way,White City,-0.224103,51.509158
568,Bishop's Bridge Road West,Bayswater,-0.18697,51.51616
569,Pitfield Street Central,Hoxton,-0.08299,51.53213
570,Upper Bank Street,Canary Wharf,-0.017676,51.503083
571,Westfield Southern Terrace,Shepherd's Bush,-0.218337,51.506256
572,Greenland Road,Camden Town,-0.141728,51.539099
573,Limerston Street,West Chelsea,-0.18119,51.485587
574,Eagle Wharf Road,Hoxton,-0.09315,51.53356
576,Alpha Grove,Millwall,-0.022793,51.497304
577,Globe Town Market,Bethnal Green,-0.047548,51.528869
578,Hollybush Gardens,Bethnal Green,-0.057133,51.527607
579,Queen Street 2,Bank,-0.093051,51.511246
580,Doddington Grove,Kennington,-0.102996,51.486929
581,New Cavendish Street,Marylebone,-0.147983,51.519167
583,Abingdon Green,Westminster,-0.125978,51.497622
584,Ilchester Gardens,Bayswater,-0.19096,51.51244
586,Mudchute DLR,Cubitt Town,-0.014582,51.490645
587,Monument Street,Monument,-0.08497,51.50964
588,Hoxton Street,Hoxton,-0.0801,51.52959
589,Drayton Gardens,West Chelsea,-0.179369,51.487196
590,Greenberry Street,St.John's Wood,-0.16862,51.53256
592,Bishop's Bridge Road East,Bayswater,-0.18377,51.5171
593,Northdown Street,King's Cross,-0.11934,51.531066
594,Kingsway Southbound,Strand,-0.117774,51.513875
595,Hammersmith Road,Hammersmith,-0.21985,51.493267
596,Parson's Green,Parson's Green,-0.199783,51.472817
597,Fulham Park Road,Fulham,-0.20782,51.473471
598,Southerton Road,Hammersmith,-0.228188,51.494499
599,Manbre Road,Hammersmith,-0.223616,51.485743
600,South Lambeth Road,Vauxhall,-0.124642,51.481747
601,BBC White City,White City,-0.225787,51.514767
602,Union Grove,Wandsworth Road,-0.133972,51.472993
603,Caldwell Street,Stockwell,-0.116493,51.477839
604,St Martins Close,Camden Town,-0.138535,51.538792
605,Seymour Place,Marylebone,-0.163667,51.520331
606,Addison Road,Holland Park,-0.210941,51.504199
607,Putney Bridge Station,Fulham,-0.210279,51.468814
608,Colet Gardens,Hammersmith,-0.216493,51.491093
609,Sugden Road,Clapham,-0.157788,51.465123
610,Danvers Street,West Chelsea,-0.172078,51.482567
611,Princedale Road,Holland Park,-0.208486,51.506465
612,Wandsworth Rd,Isley Court,-0.141812,51.469259
613,Woodstock Grove,Shepherd's Bush,-0.2174,51.504038
614,Bradmead,Battersea Park,-0.14469,51.478172
615,Finlay Street,Fulham,-0.215895,51.476885
616,Aintree Street,Fulham,-0.209973,51.481021
617,Elysium Place,Fulham,-0.207842,51.471079
618,Eel Brook Common,Walham Green,-0.193254,51.476259
619,Irene Road,Parsons Green,-0.19701,51.473763
620,Surrey Lane,Battersea,-0.16716,51.47518
621,Wandsworth Town Station,Wandsworth,-0.187427,51.460864
622,Lansdowne Road,Ladbroke Grove,-0.205535,51.507481
623,Nantes Close,Wandsworth,-0.180791,51.46193
624,Courland Grove,Wandsworth Road,-0.132102,51.472918
625,Queen's Circus,Battersea Park,-0.149551,51.477619
626,Normand Park,West Kensington,-0.204815,51.484386
627,Holden Street,Battersea,-0.15823,51.46879
628,William Morris Way,Sands End,-0.184318,51.468819
629,Morie Street,Wandsworth,-0.190184,51.459953
630,Clarence Walk,Stockwell,-0.126994,51.470732
631,Battersea Park Road,Nine Elms,-0.14177,51.479501
632,Sheepcote Lane,Battersea,-0.163041,51.470538
633,Vereker Road,West Kensington,-0.209378,51.489591
634,Brook Green South,Brook Green,-0.215804,51.494347
635,Greyhound Road,Hammersmith,-0.214428,51.486062
636,South Park,Sands End,-0.193502,51.467064
637,Spencer Park,Wandsworth Common,-0.174691,51.45787
638,Falcon Road,Clapham Junction,-0.169821,51.466633
639,Coomer Place,West Kensington,-0.202038,51.48357
640,Silverthorne Road,Battersea,-0.148059,51.472865
641,Archbishop's Park,Waterloo,-0.117495,51.498241
642,Fawcett Close,Battersea,-0.174485,51.469161
643,All Saints' Road,Portobello,-0.204764,51.519042
644,Rainville Road,Hammersmith,-0.223852,51.483732
645,Great Suffolk Street,The Borough,-0.100292,51.501732
646,Buckingham Gate,Westminster,-0.137424,51.498865
647,Richmond Way,Shepherd's Bush,-0.217515,51.500353
648,Peterborough Road,Sands End,-0.196274,51.46904
649,World's End Place,West Chelsea,-0.180274,51.481805
650,St. Mark's Road,North Kensington,-0.213872,51.51687
651,Thorndike Close,West Chelsea,-0.183853,51.480898
652,Evesham Street,Avondale,-0.21819,51.511486
653,Simpson Street,Clapham Junction,-0.170703,51.470847
654,Ashmole Estate,Oval,-0.117661,51.482678
655,Crabtree Lane,Fulham,-0.219346,51.482944
656,Broomhouse Lane,Parsons Green,-0.199135,51.468418
657,Blythe Road West,Shepherd's Bush,-0.221791,51.49968
658,Ethelburga Estate,Battersea Park,-0.164786,51.477292
659,Blackfriars Station,St. Paul's,-0.103078,51.511934
660,West Kensington Station,West Kensington,-0.206029,51.49087
661,All Saints Church,Portobello,-0.202608,51.51632
662,Phene Street,Chelsea,-0.167919,51.484984
663,Clarendon Road,Avondale,-0.211593,51.51323
664,Austin Road,Battersea Park,-0.155442,51.474376
665,Smugglers Way,Wandsworth,-0.191722,51.461083
666,Olympia Way,Olympia,-0.208158,51.4961
667,Shepherd's Bush Road North,Shepherd's Bush,-0.222293,51.501594
668,Ravenscourt Park Station,Hammersmith,-0.236769,51.494223
669,Teversham Lane,Stockwell,-0.123258,51.476149
670,Ashley Crescent,Battersea,-0.152248,51.467185
671,Parsons Green Station,Parsons Green,-0.201968,51.475089
673,Hibbert Street,Battersea,-0.180389,51.46517
674,Carnegie Street,King's Cross,-0.116191,51.535467
675,Usk Road,Clapham Junction,-0.182126,51.463489
676,Hartington Road,Stockwell,-0.126874,51.47787
677,Heath Road,Battersea,-0.146544,51.468669
678,Esmond Street,Putney,-0.211468,51.462312
679,Orbel Street,Battersea,-0.17021,51.474535
680,Westbridge Road,Battersea,-0.170329,51.477684
681,Bishop's Avenue,Fulham,-0.214749,51.473036
682,Crisp Road,Hammersmith,-0.226606,51.488108
683,Dorothy Road,Clapham Junction,-0.16375,51.465064
684,Neville Gill Close,Wandsworth,-0.195197,51.454752
685,Osiers Road,Wandsworth,-0.198735,51.46067
686,Beryl Road,Hammersmith,-0.222456,51.488144
687,Maclise Road,Olympia,-0.211455,51.497608
688,Northfields,Wandsworth,-0.200667,51.460951
689,Spanish Road,Clapham Junction,-0.180884,51.459225
690,Stanley Grove,Battersea,-0.15213,51.470475
691,Erin Close,Walham Green,-0.195777,51.479463
692,Cadogan Close,Victoria Park,-0.028941,51.542118
693,Felsham Road,Putney,-0.215618,51.464786
694,Putney Rail Station,Putney,-0.216526,51.460717
695,Islington Green,Angel,-0.102757,51.536384
696,Charing Cross Hospital,Hammersmith,-0.217995,51.487285
697,Charlotte Terrace,Angel,-0.112721,51.536392
698,Shoreditch Court,Haggerston,-0.070329,51.539083
699,Belford House,Haggerston,-0.07023,51.536654
700,Battersea Church Road,Battersea,-0.174347,51.476964
701,Vicarage Crescent,Battersea,-0.176267,51.472876
702,Durant Street,Bethnal Green,-0.06555,51.528681
703,St. Bride Street,Holborn,-0.105344,51.515059
704,Mexfield Road,East Putney,-0.202802,51.45682
705,Upper Richmond Road,Putney,-0.212145,51.459715
706,Snowsfields,London Bridge,-0.083632,51.502153
707,Barons Court Station,West Kensington,-0.215087,51.490217
708,Disraeli Road,Putney,-0.216145,51.46161
709,Montserrat Road,Putney,-0.21555,51.463211
710,Albert Bridge Road,Battersea Park,-0.163347,51.474392
711,Everington Street,Fulham,-0.216305,51.483356
712,Mile End Stadium,Mile End,-0.034903,51.518541
713,Hawley Crescent,Camden Town,-0.14326,51.541007
714,Stewart's Road,Wandsworth Road,-0.137235,51.473116
715,Aylward Street,Stepney,-0.049067,51.51563
716,Stainsby Road,Poplar,-0.023565,51.515427
717,Dunston Road,Haggerston,-0.075885,51.536585
718,Ada Street,Hackney Central,-0.060291,51.535716
719,Victoria Park Road,Hackney Central,-0.054162,51.536424
720,Star Road,West Kensington,-0.205279,51.487244
721,Wendon Street,Old Ford,-0.026262,51.536039
722,Finnis Street,Bethnal Green,-0.058631,51.524583
723,Stephendale Road,Sands End,-0.190346,51.46822
724,Alma Road,Wandsworth,-0.184806,51.457991
725,Walworth Square,Walworth,-0.096518,51.491327
726,Alfreda Street,Battersea Park,-0.150908,51.47505
727,Chesilton Road,Fulham,-0.205876,51.475698
728,Putney Bridge Road,East Putney,-0.20624,51.461999
729,St. Peter's Terrace,Fulham,-0.208485,51.478939
730,Bridge Avenue,Hammersmith,-0.229116,51.492084
731,Michael Road,Walham Green,-0.18921,51.477276
732,Duke Street Hill,London Bridge,-0.087262,51.506304
733,Park Lane,Mayfair,-0.150817,51.505426
734,Plough Terrace,Clapham Junction,-0.175407,51.462305
735,Grant Road East,Clapham Junction,-0.173029,51.464894
736,Queensdale Road,Shepherd's Bush,-0.216104,51.50659
737,Fulham Broadway,Walham Green,-0.194116,51.479932
738,Imperial Road,Sands End,-0.187278,51.475142
739,Hortensia Road,West Brompton,-0.185273,51.481765
740,Sirdar Road,Avondale,-0.214594,51.510928
741,Freston Road,Avondale,-0.219486,51.512981
742,Blenheim Crescent,Ladbroke Grove,-0.208565,51.515108
743,Oxford Road,Putney,-0.212607,51.460792
744,Ingrave Street,Clapham Junction,-0.172293,51.467454
745,Upcerne Road,West Chelsea,-0.182435,51.478169
746,Lots Road,West Chelsea,-0.179038,51.479573
747,Ormonde Gate,Chelsea,-0.161765,51.487964
748,Hertford Road,De Beauvoir Town,-0.079201,51.537277
749,Haggerston Road,Haggerston,-0.074284,51.539328
750,Culvert Road,Battersea,-0.15785,51.471095
751,Newton Street,Covent Garden,-0.120909,51.516128
754,Grenfell Road,Avondale,-0.214762,51.5129
755,The Vale,Chelsea,-0.174971,51.485121
756,Prince of Wales Drive,Battersea Park,-0.159169,51.475153
757,Harcourt Terrace,West Brompton,-0.187404,51.487958
758,Westbourne Park Road,Portobello,-0.201005,51.51787
759,Broadley Terrace,Marylebone,-0.165668,51.524561
760,Rossmore Road,Marylebone,-0.163795,51.525269
761,Humbolt Road,Fulham,-0.21186,51.483217
762,Storey's Gate,Westminster,-0.129698,51.500703
763,Mile End Park Leisure Centre,Mile End,-0.032566,51.520597
764,St. John's Road,Clapham Junction,-0.168292,51.462392
765,Ranelagh Gardens,Fulham,-0.206827,51.467601
766,Ram Street,Wandsworth,-0.192165,51.457529
767,Santos Road,Wandsworth,-0.200806,51.457059
768,Clapham Common North Side,Clapham Common,-0.159322,51.461343
769,Sandilands Road,Walham Green,-0.191803,51.473611
770,Gwendwr Road,West Kensington,-0.209121,51.491026
771,Rifle Place,Avondale,-0.216016,51.509224
772,Binfield Road,Stockwell,-0.122831,51.472509
773,Tallis Street,Temple,-0.107349,51.511891
774,Hurlingham Park,Parsons Green,-0.20464,51.470131
775,Little Brook Green,Brook Green,-0.223868,51.496664
776,Abyssinia Close,Clapham Junction,-0.167029,51.460333
777,Limburg Road,Clapham Junction,-0.165297,51.461923
779,Houndsditch,Aldgate,-0.077178,51.514449
780,Imperial Wharf Station,Sands End,-0.183165,51.474665
781,Victoria & Albert Museum,South Kensington,-0.173009,51.495898
782,Halford Road,West Kensington,-0.197609,51.483911
783,Monier Road,Hackney Wick,-0.02163,51.540311
784,East Village,Queen Elizabeth Olympic Park,-0.009935,51.546326
785,Aquatic Centre,Queen Elizabeth Olympic Park,-0.01051,51.54094
786,Lee Valley VeloPark,Queen Elizabeth Olympic Park,-0.015717,51.549369
787,Timber Lodge,Queen Elizabeth Olympic Park,-0.014691,51.546805
789,Podium,Queen Elizabeth Olympic Park,-0.011889,51.538718
790,Stratford Station,Stratford,-0.00481,51.541793
792,Blackfriars Road,Southwark,-0.10454,51.505461
793,Cromer Street,Bloomsbury,-0.119558,51.528279
794,Lansdowne Way Bus Garage,Stockwell,-0.12458,51.474567
795,Euston Square Gardens,Euston,-0.131861,51.527068
796,Coram Street,Bloomsbury,-0.126409,51.524
797,Ossulston Street,Somers Town,-0.128279,51.5293
798,Birkenhead Street,King's Cross,-0.122299,51.530199
799,Kings Gate House,Westminster,-0.137598,51.497698
800,Sopwith Way,Battersea Park,-0.149035,51.481121
801,Lavington Street,Bankside,-0.098031,51.505224
802,Albert Square,Stockwell,-0.118256,51.47659
803,Southwark Street,Bankside,-0.098341,51.505409
804,Good's Way,King's Cross,-0.125078,51.534667
806,Handyside Street,King's Cross,-0.124807,51.53724
807,Bevington Road West,North Kensington,-0.208888,51.5212
808,Stockwell Roundabout,Stockwell,-0.122555,51.473486
809,Lincoln's Inn Fields,Holborn,-0.118272,51.516277
810,Tate Modern,Bankside,-0.098807,51.506725
811,Westferry Circus,Canary Wharf,-0.027772,51.505703
812,Here East North,Queen Elizabeth Olympic Park,-0.022606,51.548731
813,New Spring Gardens Walk,Vauxhall,-0.122759,51.487807
814,Clapham Road,Stockwell,-0.12367,51.471433
815,Lambeth Palace Road,Waterloo,-0.116628,51.500089
816,Here East South,Queen Elizabeth Olympic Park,-0.020597,51.546532
817,Riverlight South,Nine Elms,-0.138212,51.481335
818,Westminster Pier,Westminster,-0.123823,51.501513
819,Belvedere Road 2,South Bank,-0.114842,51.50621
820,Victory Place,Walworth,-0.091938,51.492807
821,Battersea Power Station,Battersea Park,-0.147714,51.483507
826,Allington Street,Victoria,-0.142943,51.496863
827,Cranmer Road,Stockwell,-0.111471,51.479601
828,Normandy Road,Stockwell,-0.11258,51.473874
829,Wynne Road,Stockwell,-0.112686,51.469217
830,Sidney Road,Stockwell,-0.119022,51.469202
831,St John's Crescent,Brixton,-0.113179,51.466232
832,Ferndale Road,Brixton,-0.115781,51.464019
833,Saltoun Road,Brixton,-0.115375,51.460232
834,Gas Holders,Battersea Park,-0.147857,51.477966
835,Farringdon Street,Holborn,-0.104947,51.516785
836,York Way,Kings Cross,-0.125441,51.541596
838,Fore Street Avenue,Guildhall,-0.091401,51.518093
839,Sea Containers,South Bank,-0.106823,51.508033